"GEO_ID","NAME","B25136_001E","B25136_001M","B25136_002E","B25136_002M","B25136_003E","B25136_003M","B25136_004E","B25136_004M","B25136_005E","B25136_005M","B25136_006E","B25136_006M","B25136_007E","B25136_007M","B25136_008E","B25136_008M","B25136_009E","B25136_009M","B25136_010E","B25136_010M","B25136_011E","B25136_011M","B25136_012E","B25136_012M","B25136_013E","B25136_013M",
"Geography","Geographic Area Name","Estimate!!Total Housing Units:","Margin of Error!!Total Housing Units:","Estimate!!Total Housing Units:!!Occupied Units","Margin of Error!!Total Housing Units:!!Occupied Units","Estimate!!Total Housing Units:!!Occupied Units!!1-unit, detached","Margin of Error!!Total Housing Units:!!Occupied Units!!1-unit, detached","Estimate!!Total Housing Units:!!Occupied Units!!1-unit, attached","Margin of Error!!Total Housing Units:!!Occupied Units!!1-unit, attached","Estimate!!Total Housing Units:!!Occupied Units!!2-9 units","Margin of Error!!Total Housing Units:!!Occupied Units!!2-9 units","Estimate!!Total Housing Units:!!Occupied Units!!10 or more units","Margin of Error!!Total Housing Units:!!Occupied Units!!10 or more units","Estimate!!Total Housing Units:!!Occupied Units!!Mobile home, Boat, RV, Van, etc.","Margin of Error!!Total Housing Units:!!Occupied Units!!Mobile home, Boat, RV, Van, etc.","Estimate!!Total Housing Units:!!Vacant Units","Margin of Error!!Total Housing Units:!!Vacant Units","Estimate!!Total Housing Units:!!Vacant Units!!1-unit, detached","Margin of Error!!Total Housing Units:!!Vacant Units!!1-unit, detached","Estimate!!Total Housing Units:!!Vacant Units!!1-unit, attached","Margin of Error!!Total Housing Units:!!Vacant Units!!1-unit, attached","Estimate!!Total Housing Units:!!Vacant Units!!2-9 units","Margin of Error!!Total Housing Units:!!Vacant Units!!2-9 units","Estimate!!Total Housing Units:!!Vacant Units!!10 or more units","Margin of Error!!Total Housing Units:!!Vacant Units!!10 or more units","Estimate!!Total Housing Units:!!Vacant Units!!Mobile home","Margin of Error!!Total Housing Units:!!Vacant Units!!Mobile home",
"0500000US39035","Cuyahoga County, Ohio","615513","271","554173","1923","342678","2291","28955","1243","75082","1831","104549","2279","2909","345","61340","1970","23451","1351","3902","439","17495","957","15840","1127","652","196",
"1400000US39035101101","Census Tract 1011.01; Cuyahoga County; Ohio","1131","149","977","160","280","66","58","45","115","100","524","113","0","13","154","56","11","18","0","13","112","51","31","29","0","13",
"1400000US39035101102","Census Tract 1011.02; Cuyahoga County; Ohio","2900","349","2545","375","543","121","98","72","503","136","1401","368","0","13","355","160","0","13","0","13","135","103","220","152","0","13",
"1400000US39035101201","Census Tract 1012.01; Cuyahoga County; Ohio","1917","231","1656","240","404","114","184","61","337","157","731","171","0","13","261","123","113","88","0","13","130","81","18","29","0","13",
"1400000US39035101300","Census Tract 1013; Cuyahoga County; Ohio","1181","121","1019","119","72","49","54","32","357","94","536","109","0","13","162","76","0","13","0","13","59","45","103","69","0","13",
"1400000US39035101400","Census Tract 1014; Cuyahoga County; Ohio","925","84","675","110","424","86","29","22","202","84","20","16","0","13","250","94","113","67","10","17","127","66","0","13","0","13",
"1400000US39035101501","Census Tract 1015.01; Cuyahoga County; Ohio","996","99","847","111","267","76","31","22","353","110","191","96","5","8","149","67","49","40","10","20","49","41","41","32","0","13",
"1400000US39035101603","Census Tract 1016.03; Cuyahoga County; Ohio","1171","173","907","184","524","104","73","43","310","146","0","13","0","13","264","97","88","57","0","13","176","84","0","13","0","13",
"1400000US39035101700","Census Tract 1017; Cuyahoga County; Ohio","1485","428","1363","423","452","102","83","84","646","428","182","97","0","13","122","72","18","30","0","13","72","67","32","28","0","13",
"1400000US39035101800","Census Tract 1018; Cuyahoga County; Ohio","1190","168","938","164","345","109","94","58","370","150","129","80","0","13","252","92","30","29","15","25","158","70","49","43","0","13",
"1400000US39035101901","Census Tract 1019.01; Cuyahoga County; Ohio","692","94","558","90","257","82","30","22","205","82","57","42","9","14","134","66","57","51","49","44","28","30","0","13","0","13",
"1400000US39035102101","Census Tract 1021.01; Cuyahoga County; Ohio","1583","132","1387","122","510","122","68","50","774","154","35","40","0","13","196","94","60","59","0","13","116","82","20","32","0","13",
"1400000US39035102102","Census Tract 1021.02; Cuyahoga County; Ohio","1289","141","1192","151","623","97","51","74","189","114","329","157","0","13","97","73","49","48","0","13","24","38","24","40","0","13",
"1400000US39035102200","Census Tract 1022; Cuyahoga County; Ohio","1450","201","1293","195","649","189","132","72","480","152","32","29","0","13","157","99","56","80","7","11","94","59","0","13","0","13",
"1400000US39035102300","Census Tract 1023; Cuyahoga County; Ohio","944","147","748","157","372","88","85","52","268","135","20","31","3","6","196","82","86","64","21","30","78","63","11","18","0","13",
"1400000US39035102401","Census Tract 1024.01; Cuyahoga County; Ohio","797","138","640","129","386","91","26","33","217","108","8","12","3","6","157","70","79","58","0","13","78","49","0","13","0","13",
"1400000US39035102402","Census Tract 1024.02; Cuyahoga County; Ohio","1231","177","1080","190","698","188","50","65","295","110","37","47","0","13","151","94","95","76","23","48","33","35","0","13","0","13",
"1400000US39035102700","Census Tract 1027; Cuyahoga County; Ohio","1639","153","1374","180","836","191","44","42","494","155","0","13","0","13","265","121","178","106","0","13","87","68","0","13","0","13",
"1400000US39035102800","Census Tract 1028; Cuyahoga County; Ohio","757","127","634","134","288","95","14","23","332","107","0","13","0","13","123","60","41","38","0","13","82","47","0","13","0","13",
"1400000US39035102900","Census Tract 1029; Cuyahoga County; Ohio","793","69","667","78","417","66","18","20","196","69","36","29","0","13","126","53","18","26","19","22","89","47","0","13","0","13",
"1400000US39035103300","Census Tract 1033; Cuyahoga County; Ohio","1520","234","1302","240","32","35","18","29","386","113","866","247","0","13","218","119","0","13","0","13","46","52","172","107","0","13",
"1400000US39035103500","Census Tract 1035; Cuyahoga County; Ohio","968","81","761","99","443","85","14","15","283","75","21","17","0","13","207","71","73","61","0","13","134","70","0","13","0","13",
"1400000US39035103602","Census Tract 1036.02; Cuyahoga County; Ohio","2618","273","2224","270","285","113","282","136","485","197","1172","223","0","13","394","182","0","13","14","22","168","133","212","135","0","13",
"1400000US39035103800","Census Tract 1038; Cuyahoga County; Ohio","875","102","629","114","362","91","24","28","219","82","24","17","0","13","246","69","46","40","13","20","168","68","19","23","0","13",
"1400000US39035104400","Census Tract 1044; Cuyahoga County; Ohio","825","92","734","88","324","71","52","33","191","61","167","64","0","13","91","67","33","38","0","13","58","64","0","13","0","13",
"1400000US39035104800","Census Tract 1048; Cuyahoga County; Ohio","863","96","734","105","278","79","150","61","209","81","97","47","0","13","129","70","46","45","0","13","70","49","13","21","0","13",
"1400000US39035105100","Census Tract 1051; Cuyahoga County; Ohio","1863","339","1534","360","782","267","121","89","517","262","0","13","114","74","329","129","82","71","29","46","218","105","0","13","0","13",
"1400000US39035105300","Census Tract 1053; Cuyahoga County; Ohio","1444","187","1185","191","685","163","26","24","463","145","11","18","0","13","259","117","42","51","20","33","197","107","0","13","0","13",
"1400000US39035105400","Census Tract 1054; Cuyahoga County; Ohio","1718","177","1351","232","651","176","265","147","379","170","26","28","30","48","367","130","149","93","41","57","95","86","82","74","0","13",
