"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"B25137_001E","Estimate!!Total Housing Units:"
"B25137_001M","Margin of Error!!Total Housing Units:"
"B25137_002E","Estimate!!Total Housing Units:!!Occupied Units"
"B25137_002M","Margin of Error!!Total Housing Units:!!Occupied Units"
"B25137_003E","Estimate!!Total Housing Units:!!Occupied Units!!One or fewer bedrooms"
"B25137_003M","Margin of Error!!Total Housing Units:!!Occupied Units!!One or fewer bedrooms"
"B25137_004E","Estimate!!Total Housing Units:!!Occupied Units!!Two bedrooms"
"B25137_004M","Margin of Error!!Total Housing Units:!!Occupied Units!!Two bedrooms"
"B25137_005E","Estimate!!Total Housing Units:!!Occupied Units!!Three or more bedrooms"
"B25137_005M","Margin of Error!!Total Housing Units:!!Occupied Units!!Three or more bedrooms"
"B25137_006E","Estimate!!Total Housing Units:!!Vacant Units"
"B25137_006M","Margin of Error!!Total Housing Units:!!Vacant Units"
"B25137_007E","Estimate!!Total Housing Units:!!Vacant Units!!One or fewer bedrooms"
"B25137_007M","Margin of Error!!Total Housing Units:!!Vacant Units!!One or fewer bedrooms"
"B25137_008E","Estimate!!Total Housing Units:!!Vacant Units!!Two bedrooms"
"B25137_008M","Margin of Error!!Total Housing Units:!!Vacant Units!!Two bedrooms"
"B25137_009E","Estimate!!Total Housing Units:!!Vacant Units!!Three or more bedrooms"
"B25137_009M","Margin of Error!!Total Housing Units:!!Vacant Units!!Three or more bedrooms"
