"GEO_ID","NAME","B25004_001E","B25004_001M","B25004_002E","B25004_002M","B25004_003E","B25004_003M","B25004_004E","B25004_004M","B25004_005E","B25004_005M","B25004_006E","B25004_006M","B25004_007E","B25004_007M","B25004_008E","B25004_008M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!For rent","Margin of Error!!Total:!!For rent","Estimate!!Total:!!Rented, not occupied","Margin of Error!!Total:!!Rented, not occupied","Estimate!!Total:!!For sale only","Margin of Error!!Total:!!For sale only","Estimate!!Total:!!Sold, not occupied","Margin of Error!!Total:!!Sold, not occupied","Estimate!!Total:!!For seasonal, recreational, or occasional use","Margin of Error!!Total:!!For seasonal, recreational, or occasional use","Estimate!!Total:!!For migrant workers","Margin of Error!!Total:!!For migrant workers","Estimate!!Total:!!Other vacant","Margin of Error!!Total:!!Other vacant",
"0500000US39035","Cuyahoga County, Ohio","61340","1970","12509","1097","2304","454","3689","581","2453","438","2961","487","84","87","37340","1329",
"1400000US39035101101","Census Tract 1011.01; Cuyahoga County; Ohio","154","56","8","14","11","18","0","13","0","13","0","13","0","13","135","53",
"1400000US39035101102","Census Tract 1011.02; Cuyahoga County; Ohio","355","160","220","152","0","13","0","13","0","13","43","71","0","13","92","76",
"1400000US39035101201","Census Tract 1012.01; Cuyahoga County; Ohio","261","123","61","56","0","13","0","13","0","13","47","67","0","13","153","94",
"1400000US39035101300","Census Tract 1013; Cuyahoga County; Ohio","162","76","41","37","0","13","0","13","0","13","0","13","0","13","121","69",
"1400000US39035101400","Census Tract 1014; Cuyahoga County; Ohio","250","94","25","30","37","45","0","13","0","13","0","13","0","13","188","77",
"1400000US39035101501","Census Tract 1015.01; Cuyahoga County; Ohio","149","67","27","33","0","13","0","13","14","22","0","13","0","13","108","53",
"1400000US39035101603","Census Tract 1016.03; Cuyahoga County; Ohio","264","97","42","38","0","13","0","13","0","13","0","13","0","13","222","95",
"1400000US39035101700","Census Tract 1017; Cuyahoga County; Ohio","122","72","0","13","0","13","0","13","0","13","0","13","0","13","122","72",
"1400000US39035101800","Census Tract 1018; Cuyahoga County; Ohio","252","92","11","18","23","33","0","13","0","13","0","13","0","13","218","81",
"1400000US39035101901","Census Tract 1019.01; Cuyahoga County; Ohio","134","66","0","13","16","26","0","13","13","22","16","23","0","13","89","58",
